IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"54.217.64.112","*.ability.snappet.run","","","","","*.ability.snappet.run","","false"
"54.217.64.147","prom-dev-ad-up-26-local.qa.horizondev.cloud","","","","","prom-dev-ad-up-26-local.qa.horizondev.cloud","","false"
"54.217.64.158","kube-apiserver","","","","","976e1c6b25a0ae3490f2fd5e6735bd20.sk1.eu-west-1.eks.amazonaws.com|ip-10-0-168-26.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.10.34|10.0.168.26","false"
"54.217.64.151","*.staging.fullhealthmedical.com","","","","","*.staging.fullhealthmedical.com|staging.fullhealthmedical.com","","false"
"54.217.64.128","libreoffice.actimo.io","","","","","libreoffice.actimo.io","","false"
"54.217.64.159","*.overwatchresearch.com","","","","","*.overwatchresearch.com","","false"
"54.217.64.157","*.public.gamma.eu-west-1.bullet.aws.dev","","","","","*.public.gamma.eu-west-1.bullet.aws.dev","","false"
"54.217.64.167","*.fintastic.ai","","","","","*.fintastic.ai","","false"
"54.217.64.163","*.valuations.gforcesinternal.co.uk","","","","","*.valuations.gforcesinternal.co.uk","","false"
"54.217.64.172","*.staging.mixlr.com","","","","","*.staging.mixlr.com","","false"
"54.217.64.164","*.42mo.xyz","","","","","*.42mo.xyz","","false"
"54.217.64.171","governor.data-staging.avakin.com","","","","","governor.data-staging.avakin.com","","false"
"54.217.64.184","tines.com","","","","","tines.com|*.tines.com","","false"
"54.217.64.180","*.prod.sun.mexos.com","","","","","*.prod.sun.mexos.com|online.sunbingo.co.uk|online.fabulousbingo.co.uk|bo.socii.co.uk|online.thesunvegas.co.uk|online.socii.co.uk|affiliates.socii.co.uk|online.fabulousvegas.co.uk","","false"
"54.217.64.196","*.sensors-test.nikecloud.com","Nike, Inc.","US","Beaverton","Oregon","*.sensors-test.nikecloud.com","","false"
"54.217.64.204","ci-fm.tado.com","","","","","ci-fm.tado.com|ci-fleetmanagement.tado.com","","false"
"54.217.64.212","*.leftfield.xyz","","","","","*.leftfield.xyz","","false"
"54.217.64.218","*.messaging.solace.cloud","Solace Corporation","CA","Kanata","Ontario","*.messaging.solace.cloud","","false"
"54.217.64.222","*.synergie.es","","","","","*.synergie.es|synergie.es","","false"
"54.217.64.249","redshift-data.eu-west-1.amazonaws.com","","","","","redshift-data.eu-west-1.amazonaws.com|*.redshift-data.eu-west-1.api.aws|redshift-data.eu-west-1.api.aws|*.redshift-data.eu-west-1.vpce.amazonaws.com","","false"
"54.217.64.254","email.fotoknudsen.no","Albelli B.V.","NL","Amsterdam","Noord-Holland","email.fotoknudsen.no|t.prod1.email.fotoknudsen.no|m.prod1.email.fotoknudsen.no|res.prod1.email.fotoknudsen.no","","false"
"54.217.64.246","content-verification-v2.test.api.bbc.com","Fake BBC","GB","London","","","","false"
"54.217.64.251","*.reskyt.com","","","","","*.reskyt.com|reskyt.com","","false"
"54.217.65.21","kube-apiserver","","","","","dba8310aed4e2a7c51770921539f04fa.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-172-49.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.3.163.12|172.16.172.49","false"
"54.217.65.9","bergencarbonsolutions.insiderlog.com","","","","","bergencarbonsolutions.insiderlog.com","","false"
"54.217.65.29","advisor.ngxcld.com","","","","","advisor.ngxcld.com","","false"
"54.217.65.34","affimed.elabjournal.com","","","","","affimed.elabjournal.com","","false"
"54.217.65.49","*.windelivery.io","","","","","*.windelivery.io|*.production.windelivery.io","","false"
"54.217.65.37","*.staging.expressplay.com","","","","","*.staging.expressplay.com","","false"
"54.217.65.46","xbroker3-z1.qa.arloxcld.com","Arlo Technologies, Inc.","US","Milpitas","California","xbroker3-z1.qa.arloxcld.com|xbroker4-z1.qa.arloxcld.com","","false"
"54.217.65.62","TRAEFIK DEFAULT CERT","","","","","be08323b103b66b0feab2a28186470b4.4049f602d526652ab2f8126bc6f2c67f.traefik.default","","true"
"54.217.65.65","vedisubito.subito.it","","","","","vedisubito.subito.it","","false"
"54.217.65.72","renting-made-easy.com","","","","","renting-made-easy.com","","false"
"54.217.65.88","*.getfuell.com","","","","","*.getfuell.com|getfuell.com","","false"
